STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-04,,38344.904,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-05,,39473.797,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-06,,37125.156,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-07,,38918.763,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-08,,38196.718,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-09,,37295.802,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-10,,39703.359,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-11,,40367.600,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2019-12,,38977.879,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-01,,41377.860,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-02,,40094.893,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-03,,40080.317,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-04,,33691.742,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-05,,33940.479,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-06,,34648.206,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-07,,36462.712,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-08,,36800.004,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-09,,36336.985,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-10,,39381.734,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-11,,39403.681,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2020-12,,38975.979,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-01,,41251.889,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-02,,38432.563,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-03,,41000.868,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-04,,38347.105,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-05,,37833.091,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-06,,37549.207,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-07,,38068.718,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-08,,37459.230,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-09,,37118.258,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-10,,39866.616,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-11,,40746.193,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2021-12,,40424.715,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-01,,41627.096,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-02,,39320.532,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-03,,40949.235,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-04,,37996.224,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-05,,37844.802,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-06,,36447.982,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-07,,37585.490,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-08,,36848.925,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-09,,35278.979,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-10,,36512.438,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-11,,36779.395,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2022-12,,36419.706,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-01,,39267.087,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-02,,36169.271,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-03,,38715.768,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-04,,35256.184,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-05,,34877.760,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-06,,33942.842,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-07,,34649.917,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-08,,34764.644,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-09,,33887.493,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-10,,35980.840,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-11,,37787.840,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2023-12,,36524.621,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-01,,39635.236,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-02,,36537.836,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-03,,37157.532,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-04,,35767.860,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-05,,34727.333,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-06,,34843.028,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-07,,36110.135,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-08,,35380.906,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-09,,34441.072,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-10,,36018.163,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-11,,36208.793,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,DE,Germany,2024-12,,36272.645,,,,,
